"","DPM","DPMRatio","Restraint","RestraintRatio","40s","40sRatio"
"ArchMageFP",18659545998181,1.2567,12032493133394,0.9498,20433775354301,0.9457
"Cadena",17723214223113,1.1936,14818899794113,1.1698,25094808001284,1.1615
"Captain",17595245211762,1.185,13022835993314,1.028,20303316786922,0.9397
"Blaster",17227433057890,1.1602,14611141322443,1.1534,25278232618844,1.17
"ArchMageTC",16873756466186,1.1364,16165386089780,1.2761,22340198342785,1.034
"Shadower",16809694605862,1.1321,13281688360359,1.0484,19978373209998,0.9247
"Kinesis",16789294425536,1.1307,12319497704599,0.9725,20781851411194,0.9619
"NightWalker",16677327890766,1.1232,17594515934312,1.3889,25429821543912,1.177
"SoulMaster",16578752227014,1.1165,12696729452907,1.0022,23078146068337,1.0681
"Bowmaster",16309344412995,1.0984,11768424879104,0.929,23119780882850,1.0701
"Striker",16051369604113,1.081,10977215792690,0.8665,18027080424189,0.8344
"Adele",15968425694605,1.0754,15305202368484,1.2082,23389318009581,1.0825
"Hero",15901993943825,1.071,15389985640831,1.2148,26701957591413,1.2359
"PathFinder",15832386475887,1.0663,12986158155314,1.0251,20990686567083,0.9715
"WildHunter",15719889312909,1.0587,15560929497459,1.2283,25066065003406,1.1601
"NightLord",15543941779602,1.0468,21495604968135,1.6968,30695199247558,1.4207
"Aran",15422791373644,1.0387,13064928871149,1.0313,23370395911366,1.0817
"Marksman",15408453530851,1.0377,12384744468322,0.9776,20529643679257,0.9502
"Hoyeong",15275599754073,1.0288,16172574282997,1.2766,25977316258228,1.2023
"AngelicBuster",15244693654860,1.0267,12866020369273,1.0156,19532066888668,0.904
"Evan",15204981698271,1.024,13782185783250,1.0879,18798879646595,0.8701
"Palladin",15183744640544,1.0226,14889713373982,1.1754,22092820504922,1.0225
"Viper",15073424602700,1.0151,11297812046068,0.8918,18345702499306,0.8491
"Illium",15017248651956,1.0114,11961973196598,0.9442,22407022694954,1.0371
"Mercedes",14977729396236,1.0087,16698724696278,1.3182,24679644931700,1.1423
"BattleMage",14935832403402,1.0059,11100647122495,0.8763,21561191133943,0.9979
"DemonSlayer",14874392876851,1.0017,11822512978540,0.9332,19951099082610,0.9234
"Bishop",14848480374902,1,12668254452241,1,21606001017462,1
"Xenon",14831890506142,0.9989,15832819914553,1.2498,22732465611529,1.0521
"DarkKnight",14777998968279,0.9953,12896133941808,1.018,18443198737565,0.8536
"DemonAvenger",14699171403406,0.9899,8235106800356,0.6501,15077992261257,0.6979
"CannonMaster",14490631995422,0.9759,13572860150742,1.0714,20311238285894,0.9401
"Kaiser",14457853415791,0.9737,9112933148475,0.7194,17238142069295,0.7978
"Kain",14100609821224,0.9496,15295984230299,1.2074,21697851109882,1.0043
"Ark",14065210283789,0.9472,15982715477788,1.2616,24147609248758,1.1176
"Eunwol",14055192241603,0.9466,12782067510106,1.009,18739772441075,0.8673
"DualBlader",14010020637018,0.9435,15478938152644,1.2219,20278672619608,0.9386
"Mechanic",13985872053621,0.9419,12484803380023,0.9855,19480237120778,0.9016
"Luminous",13900523781911,0.9362,10131010049131,0.7997,17637173481472,0.8163
"FlameWizard",13797199405501,0.9292,12328281599485,0.9732,17466469852297,0.8084
"Zero",13688430301376,0.9219,10697705827878,0.8444,18038459596345,0.8349
"WindBreaker",13549728687109,0.9125,9735898865698,0.7685,16588649375266,0.7678
"Mikhail",13437201231074,0.905,12566544030216,0.992,20287561442516,0.939
"Lara",13119145521574,0.8835,12005456453928,0.9477,16398071625772,0.759
"Phantom",11915793987541,0.8025,10905631348931,0.8609,15946662239306,0.7381
